Model,Phase,Condition,Accuracy,Syco Rate
Llama-3.2-3B,A — Baseline,clean,0.430,-
Llama-3.2-3B,B — Shortcut,clean,0.500,-
Llama-3.2-3B,B — Shortcut,+site,0.500,-
Llama-3.2-3B,B — Shortcut,+scanner,0.487,-
Llama-3.2-3B,B — Shortcut,misleading,0.375,-
Llama-3.2-3B,D1 — Debiased,misleading+debiased,0.463,-
Llama-3.2-3B,C — Sycophancy,neutral,0.510,0.310
Llama-3.2-3B,C — Sycophancy,confident_lead,0.150,0.810
Llama-3.2-3B,C — Sycophancy,authority_lead,0.320,0.640
Llama-3.2-3B,C — Sycophancy,contradictory,0.300,0.300
Llama-3.2-3B,D2 — Grounded,neutral+grounded,0.500,0.400
Llama-3.2-3B,D2 — Grounded,confident_lead+grounded,0.110,0.860
Llama-3.1-8B-Q4,A — Baseline,clean,0.400,-
Llama-3.1-8B-Q4,B — Shortcut,clean,0.375,-
Llama-3.1-8B-Q4,B — Shortcut,+site,0.388,-
Llama-3.1-8B-Q4,B — Shortcut,+scanner,0.375,-
Llama-3.1-8B-Q4,B — Shortcut,misleading,0.388,-
Llama-3.1-8B-Q4,D1 — Debiased,misleading+debiased,0.450,-
Llama-3.1-8B-Q4,C — Sycophancy,neutral,0.400,0.210
Llama-3.1-8B-Q4,C — Sycophancy,confident_lead,0.290,0.520
Llama-3.1-8B-Q4,C — Sycophancy,authority_lead,0.260,0.540
Llama-3.1-8B-Q4,C — Sycophancy,contradictory,0.350,0.140
Llama-3.1-8B-Q4,D2 — Grounded,neutral+grounded,0.260,0.210
Llama-3.1-8B-Q4,D2 — Grounded,confident_lead+grounded,0.090,0.470
